08/05/2020 13:21:41 ; Log dosyası oluşturuldu ; Başarılı
08/05/2020 13:21:42 ; Browser açıldı ; Başarılı
08/05/2020 13:22:12 ; Siteye erişilemedi. Çalışma durduruldu ; 
08/05/2020 13:28:36 ; Browser açıldı ; Başarılı
08/05/2020 13:29:06 ; İnternet bağlantısı yok. Siteye erişilemedi. Çalışma durduruldu ; 
08/05/2020 13:41:22 ; Browser açıldı ; Başarılı
08/05/2020 13:41:52 ; İnternet bağlantısı yok. Siteye erişilemedi. Çalışma durduruldu ; 
08/05/2020 13:53:20 ; Browser açıldı ; Başarılı
08/05/2020 13:53:23 ; Siteye erişildi ; Başarılı
08/05/2020 13:53:32 ; Önceki gün arşivlenenler filtrelendi ; Başarılı
08/05/2020 13:53:35 ; Tablo çekildi ; Başarılı
08/05/2020 13:53:36 ; Green Chemicals 2019 maili gönderildi. İlgili kişiler mail log dosyasında ; Başarılı
08/05/2020 13:53:36 ; Çalışma başarıyla sona erdi ; Başarılı
08/05/2020 15:48:49 ; Browser açıldı ; Başarılı
08/05/2020 15:48:52 ; Siteye erişildi ; Başarılı
08/05/2020 15:49:01 ; Önceki gün arşivlenenler filtrelendi ; Başarılı
08/05/2020 15:49:04 ; Tablo çekildi ; Başarılı
08/05/2020 15:49:05 ; Green Chemicals 2019 maili gönderilemedi ; Başarısız
08/05/2020 15:49:46 ; Browser açıldı ; Başarılı
08/05/2020 15:49:47 ; Siteye erişildi ; Başarılı
08/05/2020 15:49:57 ; Önceki gün arşivlenenler filtrelendi ; Başarılı
08/05/2020 15:49:59 ; Tablo çekildi ; Başarılı
08/05/2020 15:50:01 ; Green Chemicals 2019 maili gönderilemedi ; Başarısız
08/05/2020 15:51:20 ; Browser açıldı ; Başarılı
08/05/2020 15:51:21 ; Siteye erişildi ; Başarılı
08/05/2020 15:51:30 ; Önceki gün arşivlenenler filtrelendi ; Başarılı
08/05/2020 15:51:33 ; Tablo çekildi ; Başarılı
08/05/2020 15:51:35 ; Green Chemicals 2019 maili gönderildi. İlgili kişiler mail log dosyasında ; Başarılı
08/05/2020 15:51:35 ; Çalışma başarıyla sona erdi ; Başarılı
08/05/2020 16:06:51 ; Browser açıldı ; Başarılı
